Id,TARGET_5Yrs
0,0.8157743
1,0.81984925
2,0.93388563
3,0.9583868
4,0.7983223
5,0.89701396
6,0.77980274
7,0.7914984
8,0.8307057
9,0.6738898
10,0.8591591
11,0.91395986
12,0.81952894
13,0.88999075
14,0.9520325
15,0.9191149
16,0.9474506
17,0.82349455
18,0.57867885
19,0.9371548
20,0.9651931
21,0.9098916
22,0.9128978
23,0.7613506
24,0.92217743
25,0.92921436
26,0.88920546
27,0.9615071
28,0.9214759
29,0.8815013
30,0.84617716
31,0.83791494
32,0.73725235
33,0.7728366
34,0.6364391
35,0.653246
36,0.7772277
37,0.7180835
38,0.8383629
39,0.9676694
40,0.97947913
41,0.83177274
42,0.7778967
43,0.83521867
44,0.8325798
45,0.88273054
46,0.8194109
47,0.81967163
48,0.79533356
49,0.76900345
50,0.7569428
51,0.8214079
52,0.9148274
53,0.58301663
54,0.97885543
55,0.8144507
56,0.9110017
57,0.63115215
58,0.92257446
59,0.98033434
60,0.9655942
61,0.84182537
62,0.836417
63,0.9527768
64,0.8839284
65,0.5369571
66,0.7743291
67,0.5652185
68,0.77271515
69,0.8484321
70,0.93557274
71,0.9242804
72,0.8471136
73,0.78080136
74,0.865526
75,0.83592045
76,0.80491483
77,0.82534236
78,0.8638321
79,0.94062376
80,0.9434353
81,0.86925095
82,0.87052363
83,0.77567494
84,0.8093042
85,0.4540488
86,0.7939646
87,0.81146955
88,0.7513198
89,0.8007257
90,0.91497344
91,0.72329265
92,0.9371184
93,0.9320141
94,0.8123617
95,0.9521117
96,0.9327662
97,0.939182
98,0.68246967
99,0.93068767
100,0.90814096
101,0.9237495
102,0.9697732
103,0.8514964
104,0.9023986
105,0.92158324
106,0.9181173
107,0.572148
108,0.91092664
109,0.6490033
110,0.9530023
111,0.8386272
112,0.61012906
113,0.94720954
114,0.8918606
115,0.9626139
116,0.84545
117,0.7387898
118,0.7839129
119,0.71514106
120,0.9406219
121,0.66904193
122,0.94141877
123,0.9027765
124,0.8431724
125,0.95579726
126,0.82994765
127,0.9284424
128,0.9376654
129,0.77714694
130,0.8746645
131,0.9353304
132,0.8362382
133,0.85260236
134,0.84168667
135,0.8940908
136,0.92989427
137,0.94943666
138,0.8829485
139,0.7728924
140,0.94332427
141,0.9595363
142,0.77865523
143,0.7915358
144,0.77729905
145,0.8958349
146,0.7107219
147,0.67767483
148,0.93114066
149,0.7668177
150,0.9147375
151,0.8793919
152,0.82519263
153,0.92651534
154,0.94601244
155,0.9423653
156,0.6464459
157,0.8478973
158,0.9692063
159,0.6462023
160,0.80415595
161,0.94505036
162,0.74507433
163,0.7914984
164,0.86005723
165,0.93973905
166,0.9591647
167,0.77050716
168,0.9395874
169,0.9418604
170,0.69088656
171,0.8010405
172,0.9226197
173,0.8759075
174,0.939635
175,0.9439337
176,0.77817905
177,0.838092
178,0.8308155
179,0.60752016
180,0.8497124
181,0.9817053
182,0.92865
183,0.66821355
184,0.9244228
185,0.67961305
186,0.2938592
187,0.9197704
188,0.94319654
189,0.789077
190,0.78857523
191,0.78953564
192,0.78272223
193,0.8604301
194,0.9320221
195,0.820336
196,0.9567778
197,0.7756019
198,0.7660872
199,0.7847459
200,0.8194804
201,0.8234863
202,0.6022395
203,0.82906884
204,0.7634843
205,0.5690008
206,0.8290437
207,0.9373676
208,0.7914984
209,0.95487344
210,0.8526989
211,0.9472766
212,0.95208657
213,0.94821674
214,0.90712523
215,0.9340054
216,0.81138206
217,0.73277277
218,0.76229405
219,0.9434399
220,0.96885955
221,0.87944204
222,0.8562074
223,0.6974956
224,0.8815806
225,0.7773937
226,0.8996277
227,0.9112036
228,0.76350087
229,0.8408157
230,0.92649907
231,0.8392919
232,0.8163066
233,0.9302584
234,0.87568575
235,0.9761463
236,0.8939307
237,0.7475623
238,0.8660074
239,0.95300573
240,0.963722
241,0.9094052
242,0.9057613
243,0.87950647
244,0.94178826
245,0.77154064
246,0.60950893
247,0.77236587
248,0.7879229
249,0.8687943
250,0.5950872
251,0.91865456
252,0.8715417
253,0.9506885
254,0.90385085
255,0.91916806
256,0.8385052
257,0.9031109
258,0.7071334
259,0.8763902
260,0.95101625
261,0.63849294
262,0.9660081
263,0.7445447
264,0.5717483
265,0.87126464
266,0.91195893
267,0.7828138
268,0.8475245
269,0.8806085
270,0.84090763
271,0.7643873
272,0.769386
273,0.85959256
274,0.7958294
275,0.84193176
276,0.7719243
277,0.9452517
278,0.9496038
