Id,TARGET_5Yrs
0,0.8250089
1,0.7214485
2,0.9991762
3,0.9995602
4,0.7760556
5,0.9783198
6,0.53449327
7,0.80230075
8,0.9902346
9,0.91827565
10,0.8241192
11,0.9531598
12,0.48440248
13,0.97493356
14,0.9892112
15,0.9949085
16,0.994776
17,0.95083815
18,0.59346354
19,0.97354466
20,0.9992995
21,0.9800427
22,0.9979869
23,0.63010925
24,0.90905195
25,0.9711599
26,0.9512368
27,0.9982595
28,0.9887199
29,0.95250523
30,0.9335149
31,0.87748724
32,0.6855362
33,0.96089053
34,0.45666465
35,0.18236762
36,0.79968214
37,0.9703813
38,0.9521636
39,0.9949858
40,0.9994999
41,0.89036995
42,0.84310293
43,0.6193419
44,0.9225042
45,0.9566542
46,0.8377775
47,0.8987109
48,0.68678635
49,0.84477055
50,0.8318165
51,0.89615273
52,0.95346576
53,0.53457534
54,0.99928075
55,0.9057326
56,0.99329925
57,0.6062741
58,0.9880285
59,0.9990753
60,0.998287
61,0.92527705
62,0.77336144
63,0.9972199
64,0.9396656
65,0.33565083
66,0.62436926
67,0.49205178
68,0.8425978
69,0.9878229
70,0.9886286
71,0.98385656
72,0.9471488
73,0.68761843
74,0.96527964
75,0.94100386
76,0.94100976
77,0.6257574
78,0.917158
79,0.99828416
80,0.9990107
81,0.9793941
82,0.96981156
83,0.86331445
84,0.6976271
85,0.010108344
86,0.95918673
87,0.9432205
88,0.7178087
89,0.9389507
90,0.5887664
91,0.9690508
92,0.98421025
93,0.99239916
94,0.7927844
95,0.94680005
96,0.9977227
97,0.99727815
98,0.5084698
99,0.9976693
100,0.9687048
101,0.9621893
102,0.96736586
103,0.95790577
104,0.9127591
105,0.93335766
106,0.98590636
107,0.5901838
108,0.9931346
109,0.7429055
110,0.9952762
111,0.5743225
112,0.3497669
113,0.993397
114,0.89463085
115,0.9993388
116,0.99028754
117,0.85639507
118,0.8860886
119,0.5597463
120,0.9912478
121,0.43941504
122,0.98702127
123,0.8517997
124,0.7999529
125,0.99373513
126,0.74364257
127,0.98937094
128,0.999843
129,0.62757176
130,0.7868525
131,0.98735356
132,0.8446915
133,0.84265834
134,0.72944957
135,0.9517396
136,0.9993389
137,0.9979457
138,0.99086505
139,0.63716406
140,0.9934116
141,0.9943269
142,0.88731736
143,0.93334407
144,0.9306641
145,0.9480236
146,0.7759977
147,0.88905364
148,0.9977951
149,0.6839948
150,0.93674284
151,0.9670021
152,0.804652
153,0.8920798
154,0.9945416
155,0.9987465
156,0.8009685
157,0.8522039
158,0.99437165
159,0.85159147
160,0.5913032
161,0.9963477
162,0.841462
163,0.787088
164,0.8983712
165,0.998382
166,0.999647
167,0.7420313
168,0.99813193
169,0.9925932
170,0.8798889
171,0.91009206
172,0.995366
173,0.7855368
174,0.96555805
175,0.99073
176,0.70765823
177,0.7267629
178,0.9549983
179,0.57534873
180,0.9359325
181,0.99781334
182,0.9950735
183,0.27486303
184,0.9787063
185,0.69427454
186,0.04309832
187,0.98621273
188,0.9971535
189,0.65981793
190,0.9265436
191,0.4385389
192,0.41884434
193,0.9235655
194,0.9944348
195,0.91774964
196,0.9926721
197,0.9074424
198,0.8266514
199,0.88564247
200,0.9683403
201,0.79937816
202,0.70680064
203,0.78652865
204,0.8817493
205,0.96702844
206,0.8638659
207,0.992164
208,0.8610455
209,0.99735755
210,0.8788882
211,0.9877331
212,0.9683141
213,0.99688476
214,0.9755701
215,0.9944705
216,0.73383635
217,0.9520935
218,0.65299207
219,0.9946484
220,0.9792453
221,0.85740495
222,0.830762
223,0.6529377
224,0.9521863
225,0.6410817
226,0.9194779
227,0.96511024
228,0.8424402
229,0.9812732
230,0.98042744
231,0.9292373
232,0.9391147
233,0.91429996
234,0.9773079
235,0.99821824
236,0.8940494
237,0.6492019
238,0.96658784
239,0.9524888
240,0.99946433
241,0.98285025
242,0.9623413
243,0.9959551
244,0.9972486
245,0.9325246
246,0.7934405
247,0.9595732
248,0.9771075
249,0.7023578
250,0.8954026
251,0.91178626
252,0.37878743
253,0.9956654
254,0.97371024
255,0.9962494
256,0.9659837
257,0.9683973
258,0.6801549
259,0.8492009
260,0.9887524
261,0.9386225
262,0.9985513
263,0.8284521
264,0.33767766
265,0.86671495
266,0.9664825
267,0.9206015
268,0.9047689
269,0.93653965
270,0.94511473
271,0.96749127
272,0.7719008
273,0.9813642
274,0.95329857
275,0.9573727
276,0.7086358
277,0.98336446
278,0.9865839
279,0.7991233
280,0.90777254
281,0.96675986
282,0.9734162
283,0.9695318
284,0.9440088
285,0.9404267
286,0.95046747
287,0.94985914
288,0.99306846
289,0.9898857
290,0.9594446
291,0.3687831
292,0.9590533
293,0.66278976
294,0.98640555
295,0.5299866
296,0.8197353
